Date,Price,Volume
2/4/2021,36981.00,96928930.00
2/3/2021,36983.00,2767003412.00
2/2/2021,37677.00,2340630205.00
2/1/2021,35524.00,1789698965.00
1/31/2021,33536.00,1623291067.00
1/30/2021,33143.00,1176981987.00
1/29/2021,34318.00,1574213551.00
1/28/2021,34252.00,6015929350.00
1/27/2021,33444.00,2463162479.00
1/26/2021,30423.00,3149650799.00
1/25/2021,32517.00,1886292212.00
1/24/2021,32275.00,1960131215.00
1/23/2021,32284.00,1061008072.00
1/22/2021,32107.00,1269262152.00
1/21/2021,33008.00,3353813976.00
1/20/2021,30840.00,4019512127.00
1/19/2021,35501.00,2316775668.00
1/18/2021,35933.00,1787957383.00
1/17/2021,36623.00,1554686784.00
1/16/2021,35840.00,1806688237.00
1/15/2021,36025.00,1995053500.00
1/14/2021,36790.00,3288447635.00
1/13/2021,39156.00,2895085049.00
1/12/2021,37381.00,3198683392.00
1/11/2021,34058.00,3999535589.00
1/10/2021,35496.00,8100819368.00
1/9/2021,38202.00,3983391029.00
1/8/2021,40237.00,2241901362.00
1/7/2021,40636.00,4705592327.00
1/6/2021,39479.00,4753170181.00
1/5/2021,36850.00,3788317476.00
1/4/2021,34038.00,3037657026.00
1/3/2021,32031.00,3901979150.00
1/2/2021,33063.00,3132759315.00
1/1/2021,32204.00,3750440818.00
12/31/2020,29389.00,1487306219.00
12/30/2020,28972.00,1924969475.00
12/29/2020,28890.00,1993721842.00
12/28/2020,27361.00,1479551412.00
12/27/2020,27039.00,1402005894.00
12/26/2020,26249.00,2463390777.00
12/25/2020,26446.00,1611547513.00
12/24/2020,24708.00,1199894883.00
12/23/2020,23724.00,923848543.00
12/22/2020,23240.00,1552020952.00
12/21/2020,23823.00,1149767379.00
12/20/2020,22727.00,1750627321.00
12/19/2020,23467.00,1014224950.00
12/18/2020,23845.00,1268054141.00
12/17/2020,23136.00,1362467582.00
12/16/2020,22822.00,3194654468.00
12/15/2020,21352.00,1949841495.00
12/14/2020,19442.00,819839290.00
12/13/2020,19275.00,456841100.00
12/12/2020,19169.00,592021818.00
12/11/2020,18815.00,484239535.00
12/10/2020,18035.00,809318888.00
12/9/2020,18250.00,684802762.00
12/8/2020,18550.00,1057335071.00
12/7/2020,18324.00,866543429.00
12/6/2020,19181.00,477334575.00
12/5/2020,19379.00,405708588.00
12/4/2020,19157.00,388466884.00
12/3/2020,18665.00,804366524.00
12/2/2020,19448.00,747088833.00
12/1/2020,19226.00,903817774.00
11/30/2020,18792.00,1743191339.00
11/29/2020,19687.00,1493787961.00
11/28/2020,18199.00,489679990.00
11/27/2020,17740.00,605284902.00
11/26/2020,17155.00,1034426524.00
11/25/2020,17176.00,2220672633.00
11/24/2020,18726.00,1141495120.00
11/23/2020,19157.00,1403472685.00
11/22/2020,18386.00,902518529.00
11/21/2020,18431.00,796767992.00
11/20/2020,18704.00,705040527.00
11/19/2020,18673.00,939934212.00
11/18/2020,17825.00,859856046.00
11/17/2020,17786.00,1441862086.00
11/16/2020,17682.00,1072294335.00
11/15/2020,16721.00,685608661.00
11/14/2020,15965.00,286912255.00
11/13/2020,16076.00,452657738.00
11/12/2020,16333.00,694320640.00
11/11/2020,16307.00,1074746062.00
11/10/2020,15707.00,717920492.00
11/9/2020,15314.00,352628989.00
11/8/2020,15335.00,492570531.00
11/7/2020,15488.00,285202500.00
11/6/2020,14838.00,388303730.00
11/5/2020,15591.00,538014394.00
11/4/2020,15600.00,625288741.00
11/3/2020,14158.00,423118194.00
11/2/2020,14024.00,300271387.00
11/1/2020,13571.00,453096298.00
10/31/2020,13762.00,286724152.00
10/30/2020,13803.00,600104834.00
10/29/2020,13566.00,756044941.00
10/28/2020,13462.00,555737562.00
10/27/2020,13286.00,434942188.00
10/26/2020,13646.00,603406480.00
10/25/2020,13069.00,460984686.00
10/24/2020,13041.00,368884233.00
10/23/2020,13126.00,273005905.00
10/22/2020,12937.00,416662856.00
10/21/2020,12990.00,739591002.00
10/20/2020,12813.00,1296152946.00
10/19/2020,11922.00,576128150.00
10/18/2020,11757.00,456404610.00
10/17/2020,11513.00,131886571.00
10/16/2020,11368.00,112306061.00
10/15/2020,11326.00,332320579.00
10/14/2020,11508.00,377801263.00
10/13/2020,11429.00,259711904.00
10/12/2020,11427.00,383360257.00
10/11/2020,11540.00,478557075.00
10/10/2020,11376.00,202131016.00
10/9/2020,11302.00,296925751.00
10/8/2020,11059.00,359802403.00
10/7/2020,10929.00,423807796.00
10/6/2020,10673.00,208253473.00
10/5/2020,10604.00,329346366.00
10/4/2020,10795.00,255950434.00
10/3/2020,10676.00,111420779.00
10/2/2020,10552.00,110570157.00
10/1/2020,10577.00,355424409.00
9/30/2020,10623.00,422940487.00
9/29/2020,10779.00,317604087.00
9/28/2020,10841.00,334584439.00
9/27/2020,10699.00,350615326.00
9/26/2020,10781.00,148127427.00
9/25/2020,10734.00,148097714.00
9/24/2020,10694.00,360929423.00
9/23/2020,10743.00,304956298.00
9/22/2020,10238.00,277589382.00
9/21/2020,10535.00,301280977.00
9/20/2020,10418.00,473754186.00
9/19/2020,10922.00,237773867.00
9/18/2020,11084.00,193207450.00
9/17/2020,10938.00,248821619.00
9/16/2020,10945.00,293584350.00
9/15/2020,10957.00,372894155.00
9/14/2020,10787.00,369481767.00
9/13/2020,10678.00,359274837.00
9/12/2020,10332.00,299956975.00
9/11/2020,10448.00,184001055.00
9/10/2020,10399.00,266084892.00
9/9/2020,10346.00,452098495.00
9/8/2020,10229.00,346738492.00
9/7/2020,10129.00,553186747.00
9/6/2020,10379.00,422137373.00
9/5/2020,10260.00,300644747.00
9/4/2020,10168.00,614402772.00
9/3/2020,10467.00,562742223.00
9/2/2020,10175.00,894736679.00
9/1/2020,11398.00,618129314.00
8/31/2020,11927.00,537292264.00
8/30/2020,11658.00,307926586.00
8/29/2020,11717.00,190649396.00
8/28/2020,11480.00,187746013.00
8/27/2020,11535.00,353027934.00
8/26/2020,11331.00,464957173.00
8/25/2020,11467.00,309986443.00
8/24/2020,11331.00,583786229.00
8/23/2020,11756.00,459366141.00
8/22/2020,11652.00,388308826.00
8/21/2020,11670.00,572197826.00
