Date,Close,Volume
7/19/2010,51.51,1944567.00
7/20/2010,51.42,2148333.00
7/21/2010,50.70,2786167.00
7/22/2010,51.30,3248500.00
7/23/2010,50.82,6587233.00
7/26/2010,51.30,3342967.00
7/27/2010,52.08,3497500.00
7/28/2010,51.93,2228667.00
7/29/2010,51.51,2580967.00
7/30/2010,51.30,2595633.00
8/2/2010,52.11,2849500.00
8/3/2010,52.11,2734433.00
8/4/2010,52.11,2133233.00
8/5/2010,52.23,1964500.00
8/6/2010,52.26,2189933.00
8/9/2010,52.68,1974367.00
8/10/2010,53.07,3414967.00
8/11/2010,51.33,2830267.00
8/12/2010,51.30,2584300.00
8/13/2010,51.03,3557400.00
8/16/2010,51.09,2214633.00
8/17/2010,51.72,2621733.00
8/18/2010,51.78,8534100.00
8/19/2010,51.12,2469800.00
8/20/2010,51.18,2227100.00
8/23/2010,51.18,4688800.00
8/24/2010,51.63,4311267.00
8/25/2010,51.48,3087400.00
8/26/2010,51.24,2087967.00
8/27/2010,52.08,1993567.00
8/30/2010,51.45,1723933.00
8/31/2010,51.54,3728400.00
9/1/2010,52.32,3945700.00
9/2/2010,51.84,2456633.00
9/3/2010,52.05,2587300.00
9/7/2010,52.02,2163200.00
9/8/2010,52.17,1902400.00
9/9/2010,52.62,2193467.00
9/10/2010,52.59,2007933.00
9/13/2010,52.98,2102500.00
9/14/2010,52.98,1950700.00
9/15/2010,52.74,2170467.00
9/16/2010,52.71,1754100.00
9/17/2010,52.53,3015233.00
9/20/2010,53.34,2008933.00
9/21/2010,53.37,2269567.00
9/22/2010,53.94,2745533.00
9/23/2010,53.28,2063933.00
9/24/2010,53.97,1541467.00
9/27/2010,53.70,2023667.00
9/28/2010,53.82,2367433.00
9/29/2010,53.58,1618800.00
9/30/2010,53.13,2387167.00
10/1/2010,53.49,2352800.00
10/4/2010,53.25,2133833.00
10/5/2010,53.22,4221633.00
10/6/2010,53.10,2942533.00
10/7/2010,52.89,3120433.00
10/8/2010,52.92,2787733.00
10/11/2010,52.86,1141067.00
10/12/2010,52.74,2072233.00
10/13/2010,52.68,2138067.00
10/14/2010,52.74,2095433.00
10/15/2010,52.77,2541767.00
10/18/2010,52.95,4868800.00
10/19/2010,53.01,3409533.00
10/20/2010,53.37,3775467.00
10/21/2010,53.46,2575700.00
10/22/2010,53.34,1965267.00
10/25/2010,53.31,1891133.00
10/26/2010,53.58,2061967.00
10/27/2010,53.61,2210700.00
10/28/2010,54.21,3206100.00
10/29/2010,54.63,3273133.00
11/1/2010,54.15,2746500.00
11/2/2010,54.81,2134333.00
11/3/2010,54.87,2021133.00
11/4/2010,55.59,2639667.00
11/5/2010,55.47,2135333.00
11/8/2010,55.29,2178667.00
11/9/2010,54.15,2319767.00
11/10/2010,53.64,2653600.00
11/11/2010,53.61,1578833.00
11/12/2010,53.37,1742767.00
11/15/2010,53.22,1674600.00
11/16/2010,52.83,2506600.00
11/17/2010,52.77,2017500.00
11/18/2010,53.07,2247400.00
11/19/2010,52.83,1949300.00
11/22/2010,52.98,2158033.00
11/23/2010,52.71,2080667.00
11/24/2010,52.98,1055533.00
11/26/2010,52.56,843467.00
11/29/2010,52.53,1588833.00
11/30/2010,52.65,2326567.00
12/1/2010,53.34,2540200.00
12/2/2010,53.28,1812200.00
12/3/2010,53.37,4351033.00
12/6/2010,53.04,1710267.00
12/7/2010,52.41,3077200.00
12/8/2010,52.08,3699167.00
12/9/2010,52.32,2157467.00
12/10/2010,52.59,1459400.00
12/13/2010,52.62,2043033.00
12/14/2010,52.98,1502200.00
12/15/2010,52.65,1672200.00
12/16/2010,52.98,1779033.00
12/17/2010,53.22,2615867.00
12/20/2010,53.19,1574500.00
12/21/2010,53.31,1264167.00
12/22/2010,53.28,1324133.00
12/23/2010,53.31,1051233.00
12/27/2010,53.40,963000.00
12/28/2010,53.58,1070267.00
12/29/2010,53.49,1125167.00
12/30/2010,53.40,834533.00
12/31/2010,53.43,922733.00
1/3/2011,53.58,1605333.00
1/4/2011,53.85,2215100.00
1/5/2011,53.31,2852200.00
1/6/2011,53.22,2483967.00
1/7/2011,53.37,2472200.00
1/10/2011,52.74,10918433.00
1/11/2011,52.92,4586233.00
1/12/2011,53.13,3322033.00
1/13/2011,53.40,2713067.00
1/14/2011,53.76,3001033.00
1/18/2011,54.03,4010433.00
1/19/2011,54.00,2877233.00
1/20/2011,54.15,2822800.00
1/21/2011,54.48,3404767.00
1/24/2011,54.51,4840400.00
1/25/2011,54.39,2447733.00
1/26/2011,54.30,2275867.00
1/27/2011,54.63,2609533.00
1/28/2011,53.88,3167967.00
1/31/2011,53.64,2237867.00
2/1/2011,54.15,2371200.00
2/2/2011,53.88,2184633.00
2/3/2011,54.27,7440567.00
2/4/2011,54.03,6786100.00
2/7/2011,54.45,7483333.00
2/8/2011,54.39,2344600.00
2/9/2011,53.49,3057567.00
2/10/2011,53.58,2500567.00
2/11/2011,53.52,2194967.00
2/14/2011,53.07,2281567.00
2/15/2011,53.67,3042067.00
2/16/2011,53.10,3075067.00
2/17/2011,54.36,8207833.00
2/18/2011,53.82,4745867.00
2/22/2011,53.94,3532200.00
2/23/2011,53.70,2916767.00
2/24/2011,53.46,2653967.00
2/25/2011,53.61,2400967.00
2/28/2011,53.97,3122533.00
3/1/2011,53.64,3397300.00
3/2/2011,53.88,2423100.00
3/3/2011,54.24,2815500.00
3/4/2011,53.94,3203367.00
3/7/2011,54.42,3595633.00
3/8/2011,54.72,3353833.00
3/9/2011,55.32,2850333.00
3/10/2011,54.96,3870333.00
3/11/2011,55.29,3253933.00
3/14/2011,54.54,6515200.00
3/15/2011,53.70,3614500.00
3/16/2011,52.95,5732067.00
3/17/2011,52.80,4817333.00
3/18/2011,52.89,3355567.00
3/21/2011,53.16,2673367.00
3/22/2011,53.28,2563200.00
3/23/2011,53.46,1765500.00
3/24/2011,53.61,1692033.00
3/25/2011,53.46,1835800.00
3/28/2011,53.58,1818400.00
3/29/2011,54.15,3050600.00
3/30/2011,54.51,2187967.00
3/31/2011,54.45,2245233.00
4/1/2011,55.26,2973200.00
4/4/2011,55.14,1782400.00
4/5/2011,55.23,2453633.00
4/6/2011,55.68,3373833.00
4/7/2011,55.14,1974000.00
4/8/2011,55.23,2339767.00
4/11/2011,54.48,3179500.00
4/12/2011,53.97,2651700.00
4/13/2011,54.24,2164600.00
4/14/2011,54.63,2196467.00
4/15/2011,55.11,2832433.00
4/18/2011,54.63,2386800.00
4/19/2011,54.66,1978233.00
4/20/2011,55.32,2679367.00
4/21/2011,55.35,1436333.00
4/25/2011,55.29,1475767.00
4/26/2011,55.47,3169267.00
4/27/2011,55.62,2780767.00
4/28/2011,56.04,1927867.00
4/29/2011,55.95,3111467.00
5/2/2011,56.40,2968533.00
5/3/2011,56.34,3295433.00
5/4/2011,56.55,6753800.00
5/5/2011,56.16,3149767.00
5/6/2011,56.16,3075600.00
5/9/2011,56.61,2234967.00
5/10/2011,57.03,1978633.00
5/11/2011,56.91,2284833.00
5/12/2011,57.69,2288867.00
5/13/2011,57.66,2138467.00
5/16/2011,57.90,2872233.00
5/17/2011,58.44,3667700.00
5/18/2011,57.42,2997433.00
5/19/2011,57.21,3466233.00
5/20/2011,57.03,2701700.00
5/23/2011,56.40,3952700.00
5/24/2011,56.22,2896700.00
5/25/2011,56.01,2144700.00
5/26/2011,55.80,2467167.00
5/27/2011,55.86,1754100.00
5/31/2011,56.25,1892600.00
6/1/2011,55.74,2629767.00
6/2/2011,55.83,2920533.00
6/3/2011,55.35,2036467.00
6/6/2011,55.11,2718367.00
6/7/2011,55.14,1920533.00
6/8/2011,55.38,2094667.00
6/9/2011,55.23,2473100.00
6/10/2011,54.84,2089467.00
6/13/2011,55.50,2485067.00
6/14/2011,55.62,2353600.00
6/15/2011,55.17,2336900.00
6/16/2011,56.04,3045967.00
6/17/2011,56.22,2794867.00
6/20/2011,56.49,5544567.00
6/21/2011,56.40,2184000.00
6/22/2011,56.07,2156967.00
6/23/2011,55.65,2559133.00
6/24/2011,55.53,2008233.00
6/27/2011,55.86,1771000.00
6/28/2011,55.89,2514833.00
6/29/2011,56.34,1829300.00
6/30/2011,56.49,2176000.00
7/1/2011,57.21,1826400.00
7/5/2011,57.21,3272033.00
7/6/2011,57.21,1989567.00
7/7/2011,57.27,2775633.00
7/8/2011,57.27,2571467.00
7/11/2011,57.18,4777633.00
7/12/2011,57.36,4413500.00
7/13/2011,57.06,2923867.00
7/14/2011,56.67,2502133.00
7/15/2011,56.55,2536467.00
7/18/2011,55.89,2274633.00
7/19/2011,56.28,2727567.00
7/20/2011,56.49,2595667.00
7/21/2011,57.30,3046733.00
7/22/2011,56.85,2130800.00
7/25/2011,56.76,2426833.00
7/26/2011,56.46,2037567.00
7/27/2011,56.28,2701200.00
7/28/2011,55.86,7667067.00
7/29/2011,55.80,8998500.00
8/1/2011,56.10,6892800.00
8/2/2011,55.65,6096533.00
8/3/2011,55.35,4281367.00
8/4/2011,54.06,5248033.00
8/5/2011,54.36,7960967.00
8/8/2011,51.81,7454400.00
8/9/2011,53.58,12407567.00
8/10/2011,51.75,7329733.00
8/11/2011,54.06,6121533.00
8/12/2011,53.46,4437067.00
8/15/2011,55.20,3373467.00
8/16/2011,54.87,3619700.00
8/17/2011,55.41,2857567.00
8/18/2011,55.11,4828000.00
8/19/2011,54.72,3908933.00
8/22/2011,55.05,4385800.00
8/23/2011,55.47,7050067.00
8/24/2011,56.61,4527933.00
8/25/2011,55.68,4443267.00
8/26/2011,55.68,4603033.00
8/29/2011,56.31,3357900.00
8/30/2011,56.31,4177167.00
8/31/2011,56.73,3625867.00
9/1/2011,56.43,3540700.00
9/2/2011,56.34,3296000.00
9/6/2011,55.92,3923467.00
9/7/2011,56.34,3667200.00
9/8/2011,56.43,2724900.00
9/9/2011,55.65,3717333.00
9/12/2011,56.58,3426900.00
9/13/2011,56.94,2899100.00
9/14/2011,57.24,3508033.00
9/15/2011,58.20,2633567.00
9/16/2011,58.71,3514300.00
9/19/2011,58.65,2242033.00
9/20/2011,59.25,4895200.00
9/21/2011,58.98,5395867.00
9/22/2011,58.47,6202867.00
9/23/2011,59.37,4589500.00
9/26/2011,59.82,9249733.00
9/27/2011,59.70,5086933.00
9/28/2011,59.64,5602033.00
9/29/2011,60.39,9319367.00
9/30/2011,59.97,4329500.00
10/3/2011,59.13,5145733.00
10/4/2011,58.92,5800000.00
10/5/2011,58.47,4754800.00
10/6/2011,58.80,4754300.00
10/7/2011,59.37,5763667.00
10/10/2011,60.78,4000567.00
10/11/2011,59.79,3243033.00
10/12/2011,59.40,4254433.00
10/13/2011,59.40,5247067.00
10/14/2011,59.76,4729200.00
10/17/2011,60.33,3716933.00
10/18/2011,60.36,3564867.00
10/19/2011,60.60,3498100.00
10/20/2011,60.72,3258033.00
10/21/2011,61.65,3705967.00
10/24/2011,61.08,3021867.00
10/25/2011,60.42,4013800.00
10/26/2011,60.90,3231067.00
10/27/2011,61.89,4753133.00
10/28/2011,61.38,3793100.00
10/31/2011,61.26,3828667.00
11/1/2011,60.60,4346467.00
11/2/2011,61.29,3616900.00
11/3/2011,62.43,13861000.00
11/4/2011,61.92,13985267.00
11/7/2011,62.55,12054633.00
11/8/2011,62.49,4070367.00
11/9/2011,61.68,3745400.00
11/10/2011,62.25,3842300.00
11/11/2011,63.00,3039300.00
11/14/2011,62.49,10319733.00
11/15/2011,62.04,9827467.00
11/16/2011,60.69,4657433.00
11/17/2011,60.30,5377300.00
11/18/2011,60.51,2836600.00
11/21/2011,60.09,2784533.00
11/22/2011,59.76,4074233.00
11/23/2011,58.89,3018567.00
11/25/2011,59.37,1090933.00
11/28/2011,59.97,3363900.00
11/29/2011,60.63,2910167.00
11/30/2011,62.55,4670033.00
12/1/2011,62.10,3183933.00
12/2/2011,61.86,3308367.00
12/5/2011,62.10,2682567.00
