Date,Close,Volume
7/19/2010,41.40,2586400
7/20/2010,41.96,3489900
7/21/2010,41.26,2677800
7/22/2010,42.22,3617700
7/23/2010,42.41,3072100
7/26/2010,42.60,1919900
7/27/2010,43.27,4714900
7/28/2010,42.98,2603400
7/29/2010,41.69,4871600
7/30/2010,41.99,3631800
8/2/2010,43.20,3259900
8/3/2010,43.12,3212100
8/4/2010,43.50,2876200
8/5/2010,43.55,1874400
8/6/2010,43.67,2579900
8/9/2010,44.03,1875400
8/10/2010,44.18,3428100
8/11/2010,43.71,2985900
8/12/2010,43.80,3385400
8/13/2010,43.91,2449000
8/16/2010,44.03,2531500
8/17/2010,44.71,3647500
8/18/2010,44.11,3720200
8/19/2010,43.67,4790400
8/20/2010,43.93,3551500
8/23/2010,44.35,2700200
8/24/2010,44.41,4093000
8/25/2010,43.15,6411400
8/26/2010,42.76,4235300
8/27/2010,43.42,3447900
8/30/2010,42.69,1667000
8/31/2010,42.73,3668800
9/1/2010,43.86,2928800
9/2/2010,43.58,2037000
9/3/2010,43.99,2347000
9/7/2010,43.82,1578000
9/8/2010,43.73,1759800
9/9/2010,43.94,1672100
9/10/2010,43.29,3491500
9/13/2010,43.92,2870600
9/14/2010,44.03,5438400
9/15/2010,43.48,4369800
9/16/2010,43.59,5960900
9/17/2010,43.42,3858400
9/20/2010,44.29,3361900
9/21/2010,44.11,3214900
9/22/2010,44.21,2268500
9/23/2010,43.42,2870600
9/24/2010,44.23,2452500
9/27/2010,44.26,2752300
9/28/2010,44.19,2629700
9/29/2010,43.95,2524600
9/30/2010,43.66,2600600
10/1/2010,44.03,2704400
10/4/2010,43.89,2070900
10/5/2010,44.58,2760700
10/6/2010,44.49,2530400
10/7/2010,44.51,1742100
10/8/2010,44.68,1425300
10/11/2010,44.69,1289200
10/12/2010,44.32,1923800
10/13/2010,44.55,2788300
10/14/2010,44.63,1837900
10/15/2010,44.54,3095300
10/18/2010,44.92,3120200
10/19/2010,44.50,3133000
10/20/2010,44.70,2980600
10/21/2010,44.74,3304100
10/22/2010,44.51,3310200
10/25/2010,44.46,2129200
10/26/2010,44.04,3244500
10/27/2010,43.82,2850800
10/28/2010,43.95,2675400
10/29/2010,43.46,3370900
11/1/2010,42.49,5348400
11/2/2010,42.82,2075900
11/3/2010,42.87,2059900
11/4/2010,43.53,2843400
11/5/2010,43.50,2374500
11/8/2010,43.09,2022100
11/9/2010,43.07,2014300
11/10/2010,42.98,1933000
11/11/2010,42.84,1658300
11/12/2010,42.86,2148900
11/15/2010,43.12,2464700
11/16/2010,42.79,3843800
11/17/2010,42.45,2560200
11/18/2010,42.80,7885200
11/19/2010,42.76,7915800
11/22/2010,43.01,7714000
11/23/2010,42.49,2552600
11/24/2010,42.03,2465700
11/26/2010,41.84,848300
11/29/2010,41.61,1956900
11/30/2010,41.53,2971700
12/1/2010,42.05,1942100
12/2/2010,42.10,1678800
12/3/2010,42.42,2237800
12/6/2010,42.04,1824700
12/7/2010,41.90,2280300
12/8/2010,41.83,1891500
12/9/2010,41.77,2649200
12/10/2010,41.62,3943700
