Date,Close,Volume
7/19/2010,43.35,1504500.00
7/20/2010,43.77,1685400.00
7/21/2010,43.20,2826600.00
7/22/2010,43.93,2287800.00
7/23/2010,44.23,2124600.00
7/26/2010,44.58,1474500.00
7/27/2010,45.28,3414400.00
7/28/2010,44.81,2524800.00
7/29/2010,44.48,2381700.00
7/30/2010,44.40,2952500.00
8/2/2010,45.39,2759700.00
8/3/2010,45.09,2241800.00
8/4/2010,45.30,2806100.00
8/5/2010,45.23,2810200.00
8/6/2010,45.64,3588700.00
8/9/2010,45.74,1998700.00
8/10/2010,46.21,2239000.00
8/11/2010,45.26,2276200.00
8/12/2010,45.59,2892000.00
8/13/2010,45.71,2615000.00
8/16/2010,45.78,1784200.00
8/17/2010,45.99,2959200.00
8/18/2010,45.33,4163800.00
8/19/2010,45.10,2797400.00
8/20/2010,45.86,3842200.00
8/23/2010,46.20,3319000.00
8/24/2010,46.73,5608900.00
8/25/2010,47.06,7247000.00
8/26/2010,46.85,3546500.00
8/27/2010,47.63,2637800.00
8/30/2010,46.77,3119000.00
8/31/2010,46.76,3300700.00
9/1/2010,47.78,3609000.00
9/2/2010,47.70,2653900.00
9/3/2010,47.68,2322400.00
9/7/2010,47.95,2327700.00
9/8/2010,47.70,2676600.00
9/9/2010,48.24,2581800.00
9/10/2010,44.21,30810700.00
9/13/2010,44.26,15166600.00
9/14/2010,44.86,9283500.00
9/15/2010,45.48,5444600.00
9/16/2010,45.35,4542800.00
9/17/2010,45.26,5980500.00
9/20/2010,45.37,2788400.00
9/21/2010,45.00,8965900.00
9/22/2010,45.17,5545400.00
9/23/2010,45.22,6451400.00
9/24/2010,45.82,3013800.00
9/27/2010,45.91,2085000.00
9/28/2010,45.55,2565600.00
9/29/2010,45.19,2573800.00
9/30/2010,45.42,4374300.00
10/1/2010,45.72,2908200.00
10/4/2010,45.73,2036200.00
10/5/2010,46.70,4077200.00
10/6/2010,46.34,2034200.00
10/7/2010,46.49,1718400.00
10/8/2010,46.78,1971900.00
10/11/2010,46.59,1353800.00
10/12/2010,46.56,1932800.00
