Date,Price,Volume,Change
5/1/2015,235,8703583,0.91%
5/2/2015,240,13389154,1.94%
5/3/2015,239,16599244,-0.43%
5/4/2015,236,18333196,-1.34%
5/5/2015,230,24127653,-2.52%
5/6/2015,238,21315971,3.24%
5/7/2015,244,21226001,2.47%
5/8/2015,241,15281109,-0.97%
5/9/2015,240,10634290,-0.60%
5/10/2015,242,13819531,0.77%
5/11/2015,242,9712214,-0.10%
5/12/2015,236,20329395,-2.20%
5/13/2015,237,16833657,0.22%
5/14/2015,237,10932777,0.13%
5/15/2015,236,6415070,-0.41%
5/16/2015,236,6738302,0.03%
5/17/2015,233,12516261,-1.57%
5/18/2015,232,9550029,-0.27%
5/19/2015,234,11626735,0.83%
5/20/2015,235,10114419,0.60%
5/21/2015,240,17630641,2.08%
5/22/2015,239,8659651,-0.60%
5/23/2015,241,7278252,0.85%
5/24/2015,237,6301301,-1.50%
5/25/2015,238,8842431,0.18%
5/26/2015,237,11445502,-0.23%
5/27/2015,237,8508673,0.01%
5/28/2015,237,9241377,-0.12%
5/29/2015,233,9738568,-1.63%
5/30/2015,230,9036625,-1.47%
5/31/2015,223,19658920,-3.00%
6/1/2015,226,13666050,1.15%
6/2/2015,226,12279839,-0.07%
6/3/2015,224,9934191,-0.61%
6/4/2015,225,12703848,0.47%
6/5/2015,225,5074898,-0.24%
6/6/2015,223,9097310,-0.57%
6/7/2015,229,16824026,2.23%
6/8/2015,230,12617632,0.43%
6/9/2015,229,9556658,-0.34%
6/10/2015,230,8745318,0.47%
6/11/2015,230,9406857,0.25%
6/12/2015,232,8803491,0.87%
6/13/2015,234,7700054,0.54%
6/14/2015,237,15006949,1.37%
6/15/2015,250,29956654,5.13%
6/16/2015,247,30652977,-0.99%
6/17/2015,248,19421568,0.43%
6/18/2015,244,20914718,-1.77%
6/19/2015,245,12470599,0.35%
6/20/2015,244,6140998,-0.36%
6/21/2015,247,11713076,1.36%
6/22/2015,244,9432470,-1.52%
6/23/2015,241,11415710,-1.33%
6/24/2015,243,9791298,0.82%
6/25/2015,243,9112157,0.16%
6/26/2015,251,13525814,3.10%
6/27/2015,249,9955672,-0.74%
6/28/2015,257,23504773,3.15%
6/29/2015,264,30621603,2.71%
6/30/2015,258,17316801,-2.52%
7/1/2015,255,11560215,-1.08%
7/2/2015,255,9335969,0.20%
7/3/2015,261,8502001,1.98%
7/4/2015,270,12906220,3.55%
7/5/2015,269,14242625,-0.39%
7/6/2015,266,11104557,-1.08%
7/7/2015,269,12157995,0.90%
7/8/2015,269,13058351,0.19%
7/9/2015,284,33254590,5.11%
7/10/2015,292,13584989,2.86%
7/11/2015,310,36866128,5.95%
7/12/2015,290,42741264,-6.92%
7/13/2015,287,17635929,-1.18%
7/14/2015,283,17274149,-1.25%
7/15/2015,277,34155565,-2.47%
7/16/2015,280,17217353,1.08%
7/17/2015,274,15358107,-2.03%
7/18/2015,273,8322466,-0.32%
7/19/2015,278,12900610,1.62%
7/20/2015,275,13667891,-0.94%
7/21/2015,276,11596311,0.50%
7/22/2015,276,9870635,-0.34%
7/23/2015,288,21095042,4.46%
7/24/2015,289,12024890,0.13%
7/25/2015,292,9038051,1.04%
7/26/2015,293,20358326,0.42%
7/27/2015,294,14466428,0.23%
7/28/2015,288,14738217,-1.85%
7/29/2015,287,12888681,-0.47%
7/30/2015,284,14019071,-1.16%
7/31/2015,280,11068827,-1.16%
8/1/2015,281,9978638,0.32%
8/2/2015,282,13006246,0.08%
8/3/2015,284,12732203,0.96%
8/4/2015,282,10854754,-0.92%
8/5/2015,278,9319083,-1.34%
8/6/2015,278,11919665,-0.04%
8/7/2015,259,22308124,-7.46%
8/8/2015,264,15154749,2.00%
8/9/2015,263,12873442,-0.22%
8/10/2015,269,13681940,2.13%
8/11/2015,268,15232934,-0.51%
8/12/2015,263,14962212,-1.60%
8/13/2015,265,13899140,0.60%
8/14/2015,261,10303301,-1.73%
8/15/2015,257,17880399,-1.32%
8/16/2015,257,12378055,0.00%
8/17/2015,247,23896057,-4.22%
8/18/2015,226,55514712,-9.17%
8/19/2015,235,21225055,3.69%
8/20/2015,232,13485729,-0.97%
8/21/2015,230,16976923,-1.25%
8/22/2015,227,11204081,-1.23%
8/23/2015,211,43008579,-7.25%
8/24/2015,221,40651750,4.12%
8/25/2015,225,20986286,1.98%
8/26/2015,223,13631111,-1.01%
8/27/2015,232,20751420,3.85%
8/28/2015,229,10072201,-1.37%
8/29/2015,228,9118089,-0.04%
8/30/2015,229,12521966,0.47%
8/31/2015,227,15206241,-1.01%
9/1/2015,229,13443781,0.63%
9/2/2015,226,12337406,-1.07%
9/3/2015,230,14174313,1.76%
9/4/2015,234,11253258,1.46%
9/5/2015,240,15939620,2.58%
9/6/2015,240,13744695,-0.12%
9/7/2015,243,18605472,1.50%
9/8/2015,237,16636259,-2.46%
9/9/2015,238,14447607,0.28%
9/10/2015,240,10992443,0.76%
9/11/2015,236,10407179,-1.83%
9/12/2015,230,11983360,-2.35%
9/13/2015,230,14070910,-0.12%
9/14/2015,230,11425472,-0.17%
9/15/2015,229,11866728,-0.41%
9/16/2015,233,12975914,1.77%
9/17/2015,232,12397852,-0.22%
9/18/2015,231,8004104,-0.48%
9/19/2015,231,7676870,-0.01%
9/20/2015,226,12180039,-2.10%
9/21/2015,230,16390022,1.60%
9/22/2015,230,10064288,-0.05%
9/23/2015,234,16797645,1.66%
9/24/2015,235,14510988,0.54%
