Date,Price,Volume,Change
7/17/2010,$0.00 ,$5.09 ,42.32%
7/18/2010,$0.00 ,$50 ,-6.24%
7/19/2010,$0.00 ,$21 ,-8.11%
7/20/2010,$0.00 ,$42 ,5.64%
7/21/2010,$0.00 ,$130 ,-56.85%
7/22/2010,$0.00 ,$141 ,19.35%
7/23/2010,$0.00 ,$27 ,-14.81%
7/24/2010,$0.00 ,$85 ,-8.00%
7/25/2010,$0.00 ,$47 ,9.82%
7/26/2010,$0.00 ,$197 ,6.67%
7/27/2010,$0.00 ,$256 ,-1.87%
7/28/2010,$0.00 ,$528 ,15.74%
7/29/2010,$0.00 ,$199 ,-11.48%
7/30/2010,$0.00 ,$244 ,7.59%
7/31/2010,$0.00 ,$163 ,-11.05%
8/1/2010,$0.00 ,$221 ,-1.83%
8/2/2010,$0.00 ,$606 ,0.00%
8/3/2010,$0.00 ,$211 ,-5.26%
8/4/2010,$0.00 ,$304 ,6.56%
8/5/2010,$0.00 ,$86 ,2.09%
8/6/2010,$0.00 ,$157 ,-5.59%
8/7/2010,$0.00 ,$133 ,3.12%
8/8/2010,$0.00 ,$887 ,14.23%
8/9/2010,$0.00 ,$89 ,-1.43%
8/10/2010,$0.00 ,"$1,016 ",-4.48%
8/11/2010,$0.00 ,$134 ,4.29%
8/12/2010,$0.00 ,$234 ,-8.53%
8/13/2010,$0.00 ,$295 ,3.73%
8/14/2010,$0.00 ,$295 ,-2.62%
8/15/2010,$0.00 ,$697 ,0.32%
8/16/2010,$0.00 ,$915 ,6.43%
8/17/2010,$0.00 ,$204 ,-2.94%
8/18/2010,$0.00 ,$50 ,-1.95%
8/19/2010,$0.00 ,$276 ,-1.83%
8/20/2010,$0.00 ,$689 ,1.36%
8/21/2010,$0.00 ,"$1,184 ",-0.61%
8/22/2010,$0.00 ,$282 ,-1.68%
8/23/2010,$0.00 ,$445 ,0.14%
8/24/2010,$0.00 ,$279 ,-0.31%
8/25/2010,$0.00 ,$252 ,-1.25%
8/26/2010,$0.00 ,$584 ,1.54%
8/27/2010,$0.00 ,$399 ,-1.40%
8/28/2010,$0.00 ,$205 ,-0.16%
8/29/2010,$0.00 ,"$2,135 ",1.49%
8/30/2010,$0.00 ,$933 ,-8.28%
8/31/2010,$0.00 ,$437 ,4.61%
9/1/2010,$0.00 ,$499 ,0.79%
9/2/2010,$0.00 ,$55 ,-4.19%
9/3/2010,$0.00 ,$202 ,2.45%
9/4/2010,$0.00 ,$528 ,-1.27%
9/5/2010,$0.00 ,$56 ,0.00%
9/6/2010,$0.00 ,$212 ,-0.98%
9/7/2010,$0.00 ,$143 ,1.61%
9/8/2010,$0.00 ,$108 ,-1.46%
9/9/2010,$0.00 ,$302 ,1.12%
9/10/2010,$0.00 ,$491 ,2.92%
9/11/2010,$0.00 ,$49 ,-3.51%
9/12/2010,$0.00 ,$632 ,1.11%
9/13/2010,$0.00 ,$877 ,-0.32%
9/14/2010,$0.00 ,$223 ,-2.63%
9/15/2010,$0.00 ,$45 ,2.42%
9/16/2010,$0.00 ,$439 ,-4.92%
9/17/2010,$0.00 ,$428 ,3.28%
9/18/2010,$0.00 ,$797 ,2.71%
9/19/2010,$0.00 ,$891 ,-0.97%
9/20/2010,$0.00 ,$360 ,0.88%
9/21/2010,$0.00 ,$717 ,-0.72%
9/22/2010,$0.00 ,$970 ,0.18%
9/23/2010,$0.00 ,$43 ,-0.18%
9/24/2010,$0.00 ,$133 ,-0.29%
9/25/2010,$0.00 ,$748 ,-0.03%
9/26/2010,$0.00 ,$669 ,0.32%
9/27/2010,$0.00 ,$439 ,-0.48%
9/28/2010,$0.00 ,"$1,451 ",0.02%
9/29/2010,$0.00 ,$488 ,-0.02%
9/30/2010,$0.00 ,$106 ,0.11%
10/1/2010,$0.00 ,$803 ,-0.93%
10/2/2010,$0.00 ,$440 ,-0.47%
10/3/2010,$0.00 ,"$2,080 ",0.31%
10/4/2010,$0.00 ,"$1,699 ",0.16%
10/5/2010,$0.00 ,"$2,091 ",2.24%
10/6/2010,$0.00 ,"$2,813 ",6.25%
10/7/2010,$0.00 ,"$10,784 ",22.86%
10/8/2010,$0.00 ,"$16,105 ",7.41%
10/9/2010,$0.00 ,"$4,889 ",2.80%
10/10/2010,$0.00 ,"$1,395 ",-1.58%
10/11/2010,$0.00 ,"$2,397 ",-0.11%
10/12/2010,$0.00 ,"$4,559 ",9.62%
10/13/2010,$0.00 ,"$3,702 ",-2.94%
10/14/2010,$0.00 ,"$2,555 ",2.86%
10/15/2010,$0.00 ,$634 ,-3.96%
10/16/2010,$0.00 ,"$1,858 ",0.98%
10/17/2010,$0.00 ,"$2,592 ",0.39%
10/18/2010,$0.00 ,$623 ,-5.57%
10/19/2010,$0.00 ,"$3,221 ",2.02%
10/20/2010,$0.00 ,"$4,617 ",7.48%
10/21/2010,$0.00 ,"$3,665 ",-4.39%
10/22/2010,$0.00 ,$482 ,2.84%
10/23/2010,$0.00 ,"$1,561 ",8.26%
10/24/2010,$0.00 ,"$4,450 ",12.88%
10/25/2010,$0.00 ,"$2,995 ",12.18%
10/26/2010,$0.00 ,"$11,594 ",19.93%
10/27/2010,$0.00 ,"$4,010 ",-8.43%
10/28/2010,$0.00 ,"$5,380 ",8.89%
10/29/2010,$0.00 ,"$5,112 ",4.47%
10/30/2010,$0.00 ,"$7,829 ",-3.32%
10/31/2010,$0.00 ,"$4,050 ",1.53%
11/1/2010,$0.00 ,"$1,121 ",-0.88%
11/2/2010,$0.00 ,"$11,770 ",-0.36%
11/3/2010,$0.00 ,"$6,229 ",16.04%
11/4/2010,$0.00 ,"$8,757 ",11.54%
11/5/2010,$0.00 ,"$9,397 ",33.33%
11/6/2010,$0.00 ,"$27,938 ",-14.71%
11/7/2010,$0.00 ,"$38,339 ",-39.92%
11/8/2010,$0.00 ,"$12,808 ",-15.71%
11/9/2010,$0.00 ,"$6,110 ",12.50%
11/10/2010,$0.00 ,"$1,112 ",-7.58%
11/11/2010,$0.00 ,"$10,494 ",16.82%
11/12/2010,$0.00 ,"$6,352 ",2.83%
11/13/2010,$0.00 ,"$4,794 ",1.08%
11/14/2010,$0.00 ,"$2,338 ",-4.03%
11/15/2010,$0.00 ,"$8,610 ",-20.27%
11/16/2010,$0.00 ,"$8,663 ",3.00%
11/17/2010,$0.00 ,"$10,253 ",14.15%
11/18/2010,$0.00 ,$583 ,4.36%
11/19/2010,$0.00 ,"$4,119 ",1.06%
11/20/2010,$0.00 ,$213 ,-2.28%
11/21/2010,$0.00 ,"$7,819 ",3.89%
11/22/2010,$0.00 ,"$1,362 ",-1.77%
11/23/2010,$0.00 ,$710 ,0.04%
11/24/2010,$0.00 ,$470 ,-1.07%
11/25/2010,$0.00 ,"$9,511 ",1.55%
11/26/2010,$0.00 ,$516 ,-0.49%
11/27/2010,$0.00 ,"$5,746 ",-4.81%
11/28/2010,$0.00 ,"$8,802 ",-17.44%
11/29/2010,$0.00 ,"$4,571 ",-10.42%
11/30/2010,$0.00 ,"$1,753 ",8.48%
12/1/2010,$0.00 ,"$4,801 ",10.78%
12/2/2010,$0.00 ,$634 ,-1.59%
12/3/2010,$0.00 ,"$6,673 ",-22.44%
12/4/2010,$0.00 ,"$1,178 ",-7.89%
12/5/2010,$0.00 ,$863 ,6.86%
12/6/2010,$0.00 ,"$5,412 ",12.45%
12/7/2010,$0.00 ,$790 ,2.43%
12/8/2010,$0.00 ,"$4,412 ",-19.40%
12/9/2010,$0.00 ,$328 ,1.96%
12/10/2010,$0.00 ,"$1,267 ",10.53%
12/11/2010,$0.00 ,$419 ,-3.64%
12/12/2010,$0.00 ,"$1,426 ",4.31%
12/13/2010,$0.00 ,"$2,404 ",6.81%
12/14/2010,$0.00 ,$901 ,-3.66%
12/15/2010,$0.00 ,"$3,523 ",4.80%
12/16/2010,$0.00 ,$130 ,-4.17%
12/17/2010,$0.00 ,$42 ,0.41%
12/18/2010,$0.00 ,$487 ,-0.37%
12/19/2010,$0.00 ,"$2,770 ",10.07%
12/20/2010,$0.00 ,"$2,292 ",-11.25%
12/21/2010,$0.00 ,$949 ,4.00%
12/22/2010,$0.00 ,"$2,161 ",0.00%
12/23/2010,$0.00 ,"$1,252 ",-0.81%
12/24/2010,$0.00 ,$175 ,0.76%
12/25/2010,$0.00 ,"$4,203 ",5.70%
12/26/2010,$0.00 ,"$1,270 ",0.00%
12/27/2010,$0.00 ,"$4,239 ",5.69%
12/28/2010,$0.00 ,"$5,364 ",6.33%
12/29/2010,$0.00 ,$760 ,0.00%
12/30/2010,$0.00 ,$428 ,0.00%
12/31/2010,$0.00 ,$842 ,0.00%
1/1/2011,$0.00 ,"$1,585 ",0.00%
1/2/2011,$0.00 ,$421 ,-1.69%
1/3/2011,$0.00 ,$548 ,1.30%
1/4/2011,$0.00 ,$106 ,0.03%
1/5/2011,$0.00 ,"$1,031 ",-0.34%
1/6/2011,$0.00 ,"$13,152 ",6.88%
1/7/2011,$0.00 ,$512 ,0.90%
1/8/2011,$0.00 ,$546 ,0.03%
1/9/2011,$0.00 ,"$3,361 ",1.10%
1/10/2011,$0.00 ,"$1,579 ",0.00%
1/11/2011,$0.00 ,"$10,508 ",-2.45%
1/12/2011,$0.00 ,"$7,147 ",-0.38%
1/13/2011,$0.00 ,"$10,691 ",20.60%
1/14/2011,$0.00 ,$591 ,-3.63%
1/15/2011,$0.00 ,"$1,085 ",0.21%
1/16/2011,$0.00 ,"$6,361 ",-10.67%
1/17/2011,$0.00 ,"$4,951 ",-11.66%
1/18/2011,$0.00 ,"$2,248 ",0.00%
1/19/2011,$0.00 ,"$6,900 ",19.74%
1/20/2011,$0.00 ,"$3,352 ",7.12%
1/21/2011,$0.00 ,"$4,514 ",5.49%
1/22/2011,$0.00 ,$506 ,-0.43%
1/23/2011,$0.00 ,"$4,517 ",-5.36%
1/24/2011,$0.00 ,$901 ,-2.41%
1/25/2011,$0.00 ,"$6,316 ",1.68%
1/26/2011,$0.00 ,"$12,087 ",1.00%
1/27/2011,$0.00 ,"$2,302 ",5.56%
1/28/2011,$0.00 ,$644 ,-1.59%
1/29/2011,$0.00 ,"$4,776 ",8.52%
1/30/2011,$1.00 ,"$32,708 ",7.71%
1/31/2011,$1.00 ,"$23,264 ",25.71%
2/1/2011,$1.00 ,"$4,126 ",2.23%
2/2/2011,$1.00 ,"$6,064 ",-3.77%
2/3/2011,$1.00 ,"$33,966 ",14.92%
2/4/2011,$1.00 ,"$13,634 ",11.85%
2/5/2011,$1.00 ,"$7,609 ",-2.26%
2/6/2011,$1.00 ,"$1,950 ",-1.09%
2/7/2011,$1.00 ,"$6,307 ",3.05%
2/8/2011,$1.00 ,"$47,455 ",15.78%
2/9/2011,$1.00 ,"$25,569 ",-11.19%
2/10/2011,$1.00 ,"$13,214 ",8.38%
2/11/2011,$1.00 ,"$4,354 ",0.93%
2/12/2011,$1.00 ,"$3,398 ",-2.86%
2/13/2011,$1.00 ,"$7,532 ",1.87%
2/14/2011,$1.00 ,"$9,086 ",-1.90%
2/15/2011,$1.00 ,"$7,465 ",-0.48%
2/16/2011,$1.00 ,"$4,185 ",-0.48%
2/17/2011,$1.00 ,"$32,720 ",-15.70%
2/18/2011,$1.00 ,"$3,455 ",5.28%
2/19/2011,$1.00 ,"$8,503 ",-11.65%
2/20/2011,$1.00 ,"$1,436 ",-1.86%
2/21/2011,$1.00 ,"$10,650 ",4.10%
2/22/2011,$1.00 ,"$6,058 ",3.31%
2/23/2011,$1.00 ,"$12,708 ",9.77%
2/24/2011,$1.00 ,"$4,276 ",-9.47%
2/25/2011,$1.00 ,"$4,453 ",4.90%
2/26/2011,$1.00 ,"$21,577 ",-7.64%
2/27/2011,$1.00 ,"$4,109 ",-3.49%
2/28/2011,$1.00 ,"$21,413 ",6.54%
3/1/2011,$1.00 ,"$2,534 ",2.10%
3/2/2011,$1.00 ,"$2,521 ",-0.09%
3/3/2011,$1.00 ,"$2,470 ",-4.23%
3/4/2011,$1.00 ,"$11,115 ",1.02%
3/5/2011,$1.00 ,"$10,775 ",-1.16%
