Date,Price,Volume,Change,
2015-05-02,240,13389154,1.94%,0.635749349
2015-05-04,236,18333196,-1.34%,0.43907848
2015-05-06,238,21315971,3.24%,0.204795862
2015-05-08,241,15281109,-0.97%,0.650263205
2015-05-16,236,6738302,0.03%,0.23215237
2015-05-20,235,10114419,0.60%,0.180227898
2015-05-26,237,11445502,-0.23%,0.656763265
2015-05-29,233,9738568,-1.63%,0.086429836
2015-05-30,230,9036625,-1.47%,0.468988489
2015-06-07,229,16824026,2.23%,0.115437691
2015-06-09,229,9556658,-0.34%,0.986177418
2015-06-20,244,6140998,-0.36%,0.089125169
2015-06-21,247,11713076,1.36%,0.782711908
2015-06-23,241,11415710,-1.33%,0.933535882
2015-06-26,251,13525814,3.10%,0.109500435
2015-07-02,255,9335969,0.20%,0.156748794
2015-07-05,269,14242625,-0.39%,0.890693741
2015-07-07,269,12157995,0.90%,0.80609909
2015-07-13,287,17635929,-1.18%,0.843669134
2015-07-14,283,17274149,-1.25%,0.886643068
2015-07-20,275,13667891,-0.94%,0.756464547
2015-07-21,276,11596311,0.50%,0.046092979
2015-07-22,276,9870635,-0.34%,0.614091744
2015-07-31,280,11068827,-1.16%,0.089244301
2015-08-13,265,13899140,0.60%,0.014518551
2015-08-14,261,10303301,-1.73%,0.717991228
2015-08-15,257,17880399,-1.32%,0.873779508
2015-08-16,257,12378055,0.00%,0.976217944
2015-08-17,247,23896057,-4.22%,0.486529788
2015-08-21,230,16976923,-1.25%,0.280962857
2015-08-25,225,20986286,1.98%,0.407823565
2015-09-02,226,12337406,-1.07%,0.536086418
2015-09-08,237,16636259,-2.46%,0.821262255
2015-09-14,230,11425472,-0.17%,0.482237848
2015-09-16,233,12975914,1.77%,0.367743229
2015-09-24,235,14510988,0.54%,0.690624071
2015-09-25,234,9449846,-0.31%,0.622796928
2015-09-27,239,15282769,2.67%,0.899239576
2015-09-30,237,12534483,0.47%,0.490090915
2015-10-01,237,11378442,-0.14%,0.34593783
2015-10-06,243,15363143,-1.30%,0.109638939
2015-10-10,248,10232455,0.93%,0.892607647
2015-10-11,245,9961674,-0.94%,0.953207657
2015-10-12,249,18553307,1.38%,0.626706468
2015-10-20,267,16006977,-0.99%,0.813870645
2015-10-21,274,25481883,2.66%,0.120498432
2015-10-23,283,16875626,2.00%,0.241820298
2015-10-26,295,31003938,3.23%,0.891975383
2015-10-31,323,23427550,3.63%,0.509906856
2015-11-03,401,229673024,1.10%,0.699734194
2015-11-04,383,121763708,-4.75%,0.946838747
2015-11-15,330,28260518,3.86%,0.639246728
2015-11-21,323,11915632,-0.59%,0.52191801
2015-11-23,318,16282941,-1.18%,0.158710684
2015-11-24,328,25200935,2.80%,0.561481293
2015-11-30,362,40821471,-4.47%,0.614054144
2015-12-01,360,32881089,-0.51%,0.287779559
2015-12-05,393,52068577,1.70%,0.479004558
2015-12-09,415,29794271,-0.12%,0.857206592
2015-12-21,437,28845536,-0.13%,0.41942189
2015-12-25,415,88564771,-9.31%,0.9121334
2015-12-29,427,29289417,-1.12%,0.508009858
2015-12-30,430,27758279,0.65%,0.478951186
2016-01-01,434,14566821,-0.06%,0.956379923
2016-01-02,431,23490163,-0.70%,0.033225171
2016-01-03,433,22943968,0.60%,0.600717309
2016-01-05,431,18702335,-0.09%,0.981422276
2016-01-09,446,19778457,-0.48%,0.99171002
2016-01-11,445,19913401,-0.60%,0.87428278
2016-01-14,372,107060613,-15.28%,0.200159489
2016-01-16,382,25464382,-0.67%,0.596484683
2016-01-18,379,25417877,-1.30%,0.918366803
2016-01-19,415,76873917,8.47%,0.055758845
2016-01-22,389,23908534,1.53%,0.319585475
2016-01-24,393,26793045,-2.39%,0.109539596
2016-01-26,395,17297117,1.33%,0.538310061
2016-02-01,374,19123252,0.47%,0.604036157
2016-02-04,386,23688228,-1.08%,0.204522384
2016-02-05,377,29801287,-2.60%,0.557740863
2016-02-06,378,15395728,0.33%,0.688833791
2016-02-08,375,20801701,0.72%,0.134143192
2016-02-19,440,48500794,4.56%,0.923035373
2016-02-20,438,44120521,-0.50%,0.342290074
2016-02-22,420,39915706,-4.26%,0.077983357
2016-02-23,423,28041200,0.67%,0.877424917
2016-02-26,431,18543436,0.92%,0.237913542
