Date,Open,High,Low,Close,Adj Close,Volume,
2015-11-23,13,13.15,12.1,12.12,12.12,5172200,0.947198711
2015-11-24,12,12.23,11.52,12.02,12.02,4714700,0.812948735
2015-12-01,12.12,12.18,11.89,11.91,11.91,1256100,0.967379365
2015-12-03,12.04,12.25,11.91,11.92,11.92,1431400,0.648248624
2015-12-08,12.36,12.44,12.03,12.12,12.12,1047700,0.816681003
2015-12-14,12.2,12.4,11.87,12.33,12.33,2163700,0.449075093
2015-12-16,12.55,12.8,12.13,12.27,12.27,1592900,0.953844094
2015-12-17,12.3,12.5,12.26,12.32,12.32,618900,0.522109113
2015-12-18,12.4,12.58,12.1,12.34,12.34,1608900,0.742088378
2015-12-24,12.59,12.6,12.45,12.6,12.6,318500,0.912763484
2015-12-28,12.6,12.84,12.49,12.83,12.83,1622700,0.99208906
2016-01-04,12.75,12.9,12.05,12.16,12.16,2751500,0.20795271
2016-01-11,11.43,11.87,11.4,11.84,11.84,1676900,0.40780064
2016-01-19,10.33,10.47,9.05,9.47,9.47,2741500,0.337047867
2016-01-20,9.19,9.57,8.265,9.49,9.49,3751100,0.118444324
2016-01-21,9.57,10.176,9.43,10.02,10.02,1384500,0.830655131
2016-01-22,10.35,10.65,9.75,9.85,9.85,1128900,0.202909751
2016-01-26,9.78,9.9,9.54,9.54,9.54,756500,0.69790894
2016-01-27,9.41,9.5,8.88,9.05,9.05,1347300,0.943390749
2016-01-28,9.13,9.26,8.65,8.74,8.74,1202200,0.531580075
2016-01-29,8.7,9.01,8.58,8.77,8.77,1986800,0.776930623
2016-02-02,8.67,8.73,8.45,8.47,8.47,663100,0.997562272
2016-02-03,8.4,8.6,8.061,8.43,8.43,1235400,0.67440581
2016-02-05,8.95,9,8.56,8.63,8.63,1872000,0.936680621
2016-02-10,8.76,9.06,8.63,8.88,8.88,1411900,0.145085215
2016-02-11,8.4,8.81,8.32,8.62,8.62,1102800,0.083563049
2016-02-12,9.7,9.84,8.71,9.3,9.3,8306900,0.329773275
2016-02-29,10.36,10.88,10.31,10.44,10.44,1071100,0.559380046
2016-03-01,10.6,10.85,10.24,10.72,10.72,905100,0.671657981
2016-03-02,10.82,12,10.8,11.97,11.97,2662900,0.62148931
2016-03-04,12.25,12.47,11.91,12.01,12.01,1960100,0.158894902
2016-03-09,11.78,12.2,11.23,12.03,12.03,5849500,0.739004525
2016-03-17,11.83,12.05,11.75,11.95,11.95,1309500,0.580992835
2016-03-22,13.25,13.43,12.95,13.06,13.06,2755900,0.568414172
2016-03-24,12.35,12.99,12.301,12.88,12.88,1765600,0.658068981
2016-03-28,13.11,13.73,12.771,13.4,13.4,3367500,0.418777842
2016-04-06,14.39,15.289,14.275,14.97,14.97,3038700,0.385765099
2016-04-08,15.01,15.5,14.75,15.13,15.13,1869500,0.36289528
2016-04-11,15.15,15.87,15.13,15.36,15.36,3104200,0.847296424
2016-04-12,15.55,15.81,15.05,15.48,15.48,2358800,0.279581191
2016-04-13,15.52,15.68,14.784,15.01,15.01,2646500,0.260062265
2016-04-14,15.1,15.25,14.6,14.82,14.82,1754300,0.693296192
2016-04-15,14.85,14.87,14.18,14.33,14.33,2405100,0.288386822
2016-04-18,14.2,14.71,14.13,14.51,14.51,1384700,0.400071514
2016-04-26,13.63,14.288,13.6,14.18,14.18,1702200,0.147683535
2016-04-28,14.69,15.67,14.52,15.35,15.35,3022000,0.777201
2016-05-02,14.9,15,13.72,14,14,2546800,0.601661962
2016-05-06,10.89,11.19,10.153,10.22,10.22,13716800,0.408316674
2016-05-09,10.17,10.42,9.569,9.85,9.85,4881800,0.423752992
2016-05-10,9.95,10.16,9.8,10,10,3068800,0.900036702
2016-05-13,9.3,9.685,9.28,9.36,9.36,1968900,0.819682217
2016-05-17,8.98,9.563,8.63,9.18,9.18,13089300,0.548604286
2016-05-27,9.88,9.93,9.5,9.63,9.63,2404700,0.580601863
2016-06-02,9.5,9.68,9.4,9.65,9.65,2332700,0.413311569
2016-06-03,9.57,9.58,9.33,9.46,9.46,3083000,0.649636787
2016-06-06,9.42,9.53,9.35,9.51,9.51,1865800,0.476478277
2016-06-07,9.49,9.59,9.41,9.57,9.57,2524700,0.094149205
2016-06-09,9.48,9.59,9.3,9.34,9.34,2496500,0.595232668
2016-06-10,9.27,9.44,9.045,9.14,9.14,3925600,0.41859914
2016-06-14,8.98,9.06,8.8,8.89,8.89,3510500,0.225049753
2016-06-24,8.68,8.895,8.52,8.77,8.77,4909500,0.744314943
2016-07-05,9.2,9.2,8.91,8.94,8.94,3407600,0.713113801
2016-07-11,9.35,9.45,9.16,9.24,9.24,2607100,0.062115389
2016-07-13,9.4,9.5,9.21,9.29,9.29,1831200,0.149732645
2016-07-20,9.34,9.65,9.31,9.58,9.58,2608200,0.239260619
2016-08-05,11.32,11.47,10.85,11.15,11.15,12881000,0.602090889
2016-08-08,11.13,11.45,11.04,11.26,11.26,5226700,0.256989052
2016-08-09,11.27,11.426,11.19,11.3,11.3,4700500,0.9158803
2016-08-12,11.33,11.74,11.23,11.66,11.66,5723200,0.728192894
2016-08-18,11.38,11.845,11.37,11.75,11.75,7220000,0.73642477
2016-08-22,11.78,11.86,11.59,11.82,11.82,3198900,0.990817668
2016-08-23,12.35,12.54,12.15,12.39,12.39,19081900,0.648447908
2016-08-26,12.31,12.32,11.91,12.04,12.04,6469600,0.742581798
2016-08-30,11.98,12.09,11.97,12.07,12.07,3751700,0.729590611
2016-08-31,12.04,12.22,12.02,12.19,12.19,5458500,0.90935211
2016-09-08,11.9,11.91,11.74,11.78,11.78,2031200,0.971054085
2016-09-13,11.3,11.4,11.113,11.23,11.23,3389400,0.159586062
2016-09-14,11.28,11.35,11.02,11.28,11.28,3423800,0.594187972
2016-09-15,11.25,11.38,11.14,11.38,11.38,2879100,0.633635656
2016-09-16,11.35,11.56,11.3,11.37,11.37,5550600,0.822763543
2016-09-20,11.55,11.71,11.5,11.66,11.66,2801800,0.704704737
2016-09-21,11.66,11.9,11.58,11.9,11.9,2297600,0.358314968
2016-09-23,11.74,11.94,11.55,11.83,11.83,2781600,0.265312261
2016-09-27,11.52,11.82,11.51,11.78,11.78,2314300,0.81216266
2016-10-05,11.65,11.755,11.55,11.69,11.69,1674600,0.301491923
2016-10-07,11.4,11.49,11.28,11.48,11.48,1660100,0.954987162
2016-10-12,11.15,11.28,11.065,11.27,11.27,2510400,0.070485609
2016-10-14,11.24,11.35,11.07,11.12,11.12,1897700,0.318524903
2016-10-18,11.01,11.38,11.01,11.34,11.34,6320900,0.772871167
2016-10-20,11.3,11.38,11.1,11.19,11.19,2024200,0.589345237
2016-10-24,11.36,11.5,11.22,11.35,11.35,2172800,0.05937285
2016-11-01,11.2,11.35,11,11.07,11.07,8190900,0.339629701
2016-11-02,11.45,11.89,11.29,11.78,11.78,19503200,0.481637209
2016-11-03,11.69,12.05,11.67,11.99,11.99,7371500,0.358847838
2016-11-07,12.26,12.44,12.19,12.22,12.22,5571300,0.775665408
2016-11-14,12.12,12.62,12.12,12.35,12.35,19713000,0.59124798
2016-11-16,12,12.05,11.76,12.04,12.04,4296200,0.06196249
2016-11-17,11.88,12.36,11.88,12.22,12.22,4801100,0.604695297
2016-11-28,12.65,12.84,12.51,12.53,12.53,4204900,0.488558299
2016-12-01,12.74,12.88,12.46,12.71,12.71,9372900,0.567180611
2016-12-07,13.49,14.16,13.4,14.12,14.12,11375100,0.886802012
2016-12-08,14.12,14.17,13.7,13.94,13.94,5539000,0.311346848
2016-12-13,13.74,14.11,13.73,14.07,14.07,5392900,0.334588821
2016-12-14,13.93,14.19,13.8,13.83,13.83,3072600,0.286756738
2016-12-15,13.78,14.37,13.75,14.13,14.13,4517100,0.195248304
2016-12-20,14.73,14.82,14.41,14.48,14.48,5822700,0.487411819
2016-12-27,14.12,14.246,14,14,14,2705600,0.894116065
2016-12-28,14.08,14.12,13.85,13.95,13.95,2389000,0.177274979
2016-12-29,13.94,14.11,13.64,13.73,13.73,2978700,0.616240921
2017-01-04,13.86,14.26,13.725,14.25,14.25,4977400,0.260580296
2017-01-06,14.56,15.075,14.53,15,15,6382200,0.275890417
2017-01-11,14.95,14.99,14.71,14.9,14.9,3952600,0.392755228
2017-01-13,14.79,14.92,14.69,14.75,14.75,1921400,0.332567817
2017-01-19,14.64,14.89,14.6,14.73,14.73,2511800,0.817946478
2017-01-20,14.75,15,14.715,14.89,14.89,3153300,0.376887847
2017-01-23,14.9,14.96,14.57,14.61,14.61,3881100,0.236755377
2017-01-24,14.61,14.75,14.43,14.66,14.66,3651900,0.975962616
2017-01-27,14.47,14.55,14.265,14.53,14.53,2320000,0.483557568
2017-01-31,14.4,14.77,14.365,14.62,14.62,3124100,0.210726707
2017-02-01,14.49,14.565,14.18,14.36,14.36,4679000,0.340666842
2017-02-14,14.47,14.52,14.03,14.33,14.33,5903400,0.166166057
2017-02-21,14.63,14.66,14.34,14.63,14.63,6042300,0.216344688
2017-02-22,14.75,15.215,14.6,15.04,15.04,12329800,0.120107473
2017-03-01,17.530001,17.639999,17.059999,17.219999,17.219999,13025600,0.516787787
2017-03-02,17.200001,17.35,16.98,16.99,16.99,7293700,0.80097656
2017-03-07,16.9,16.9,16.5,16.76,16.76,5762700,0.771135234
2017-03-08,16.76,17,16.700001,16.83,16.83,3872100,0.485267544
2017-03-16,17,17.280001,17,17.209999,17.209999,8838400,0.183666058
2017-03-17,17.18,17.34,17.059999,17.280001,17.280001,5680700,0.337959332
2017-03-21,17.25,17.280001,16.4,16.51,16.51,6379900,0.930202584
2017-03-23,16.4,17.030001,16.4,16.610001,16.610001,6410200,0.829999142
2017-03-28,17.379999,17.5,16.92,17.23,17.23,7385300,0.717191606
2017-03-29,17.219999,17.59,17.190001,17.219999,17.219999,5381500,0.796983102
2017-03-31,17.32,17.42,17.219999,17.280001,17.280001,2356300,0.025064776
2017-04-04,16.969999,17.18,16.93,17.040001,17.040001,5979200,0.513822364
2017-04-06,16.84,17.01,16.690001,17,17,4800100,0.623887274
2017-04-12,16.879999,17.51,16.780001,17.299999,17.299999,11161400,0.389182938
2017-04-13,17.27,17.370001,16.75,16.92,16.92,5286000,0.010447504
2017-04-18,17.01,17.040001,16.870001,16.98,16.98,3282000,0.522101129
2017-04-25,17.969999,18.299999,17.815001,18.219999,18.219999,7965500,0.982518942
2017-04-26,18.25,18.25,17.92,18.08,18.08,4504900,0.232492229
2017-04-27,18.18,18.455,18.150999,18.23,18.23,5680400,0.251528589
2017-04-28,18.32,18.4,17.945,18.24,18.24,4644500,0.521015759
2017-05-02,18.969999,19.030001,18.469999,18.809999,18.809999,9125400,0.557436874
2017-05-03,18.9,18.9,18.08,18.280001,18.280001,14720700,0.851966868
2017-05-04,19.23,20.42,19.18,19.9,19.9,26533600,0.744555752
2017-05-12,19.75,20.5,19.75,20.08,20.08,7809200,0.793413908
